 (1.65595,-2.98483)
 (1.6557,-2.98412)
 (1.65544,-2.98342)
 (1.65519,-2.98271)
 (1.65493,-2.982)
 (1.65468,-2.98129)
 (1.65442,-2.98059)
 (1.65417,-2.97988)
 (1.65391,-2.97917)
 (1.65366,-2.97847)
 (1.65341,-2.97776)
 (1.65315,-2.97706)
 (1.6529,-2.97635)
 (1.65264,-2.97565)
 (1.65239,-2.97494)
 (1.65214,-2.97424)
 (1.65188,-2.97354)
 (1.65163,-2.97283)
 (1.65138,-2.97213)
 (1.65112,-2.97143)
 (1.65087,-2.97073)
 (1.65062,-2.97002)
 (1.65037,-2.96932)
 (1.65011,-2.96862)
 (1.64986,-2.96792)
 (1.64961,-2.96722)
 (1.64936,-2.96652)
 (1.6491,-2.96582)
 (1.64885,-2.96512)
 (1.6486,-2.96442)
 (1.64835,-2.96372)
 (1.6481,-2.96302)
 (1.64784,-2.96232)
 (1.64759,-2.96162)
 (1.64734,-2.96093)
 (1.64709,-2.96023)
 (1.64684,-2.95953)
 (1.64659,-2.95883)
 (1.64634,-2.95814)
 (1.64609,-2.95744)
 (1.64583,-2.95675)
 (1.64558,-2.95605)
 (1.64533,-2.95535)
 (1.64508,-2.95466)
 (1.64483,-2.95396)
 (1.64458,-2.95327)
 (1.64433,-2.95258)
 (1.64408,-2.95188)
 (1.64383,-2.95119)
 (1.64358,-2.9505)
 (1.64333,-2.9498)
 (1.64308,-2.94911)
 (1.64283,-2.94842)
 (1.64258,-2.94773)
 (1.64233,-2.94703)
 (1.64208,-2.94634)
 (1.64184,-2.94565)
 (1.64159,-2.94496)
 (1.64134,-2.94427)
 (1.64109,-2.94358)
 (1.64084,-2.94289)
 (1.64059,-2.9422)
 (1.64034,-2.94151)
 (1.64009,-2.94082)
 (1.63985,-2.94013)
 (1.6396,-2.93944)
 (1.63935,-2.93876)
 (1.6391,-2.93807)
 (1.63885,-2.93738)
 (1.63861,-2.93669)
 (1.63836,-2.93601)
 (1.63811,-2.93532)
 (1.63786,-2.93463)
 (1.63761,-2.93395)
 (1.63737,-2.93326)
 (1.63712,-2.93258)
 (1.63687,-2.93189)
 (1.63663,-2.93121)
 (1.63638,-2.93052)
 (1.63613,-2.92984)
 (1.63589,-2.92916)
 (1.63564,-2.92847)
 (1.63539,-2.92779)
 (1.63515,-2.92711)
 (1.6349,-2.92642)
 (1.63465,-2.92574)
 (1.63441,-2.92506)
 (1.63416,-2.92438)
 (1.63392,-2.9237)
 (1.63367,-2.92301)
 (1.63342,-2.92233)
 (1.63318,-2.92165)
 (1.63293,-2.92097)
 (1.63269,-2.92029)
 (1.63244,-2.91961)
 (1.6322,-2.91893)
 (1.63195,-2.91825)
 (1.63171,-2.91758)
 (1.63146,-2.9169)
 (1.63122,-2.91622)
 (1.63097,-2.91554)
 (1.63073,-2.91486)
 (1.63048,-2.91419)
 (1.63024,-2.91351)
 (1.63,-2.91283)
 (1.62975,-2.91216)
 (1.62951,-2.91148)
 (1.62926,-2.9108)
 (1.62902,-2.91013)
 (1.62878,-2.90945)
 (1.62853,-2.90878)
 (1.62829,-2.9081)
 (1.62804,-2.90743)
 (1.6278,-2.90676)
 (1.62756,-2.90608)
 (1.62731,-2.90541)
 (1.62707,-2.90474)
 (1.62683,-2.90406)
